,SPECOBJID,RA,DEC
136,b'    333287014742910976',200.88609,-0.59945575
137,b'    333310104487094272',200.35084,-0.16869169
138,b'    333353810074298368',199.32445,-0.81570305
139,b'    333287016202528768',200.88609,-0.59945575
140,b'    333308181801363456',200.35084,-0.16869169
141,b'    333351887388567552',199.32445,-0.81570305
142,b'    333357384946706432',199.01884,0.82215455
143,b'    333350243473057792',199.32445,-0.81570305
144,b'    333358489810266112',199.01884,0.82215455
145,b'    334412366320003072',202.46626,-0.061823617
146,b'    334412371286059008',202.46626,-0.061823617
147,b'    334426115181406208',201.64581,-1.185615
148,b'    335555583518205952',203.66677,-0.74104154
149,b'    335610009343780864',202.57309,1.1807064
150,b'    335531124300212224',204.1446,-1.0798337
151,b'    335554763800209408',203.66677,-0.74104154
152,b'    335560261358348288',203.76172,-0.2212713
153,b'    335611113771132928',202.57309,1.1807064
154,b'    335617161085085696',202.34589,0.6295259
155,b'    335644099119966208',203.28389,1.0427002
156,b'    336655645052790784',205.735,-1.1620665
157,b'    337784018776909824',207.87995,-0.74550272
158,b'    337826349974579200',207.1038,-0.81636995
159,b'    337871429951318016',206.75547,1.2473188
160,b'    337785672691640320',207.87995,-0.74550272
161,b'    337829378278844416',207.1038,-0.81636995
162,b'    337864562650933248',205.89961,0.56201012
163,b'    337871159720699904',206.75547,1.2473188
164,b'    338912667043391488',210.48741,-0.33873953
165,b'    338927235572459520',210.21473,-0.63244908
166,b'    339071821351512064',211.02357,0.059627049
167,b'    339071551523547136',211.02357,0.059627049
168,b'    340128452814333952',211.39664,0.57714963
169,b'    341226863705745408',212.4215,-0.87016008
170,b'    341296132938295296',214.14183,0.6371914
171,b'    342289816471234560',215.64368,-0.21844139
172,b'    342335171325880320',214.81925,-1.1867516
173,b'    342375028622387200',214.1847,0.42850064
174,b'    342388772517734400',214.73311,0.048889002
175,b'    342392895686338560',214.86245,1.0898652
176,b'    342417909575870464',215.65033,0.5563855
177,b'    342420658354939904',215.73884,0.060531608
178,b'    342379157629462528',214.1847,0.42850064
179,b'    342392351768995840',214.73311,0.048889002
180,b'    342425886873643008',215.65033,0.5563855
181,b'    342439355891083264',215.63169,0.90556259
182,b'    343417640590534656',216.56191,-1.0554867
183,b'    343481962020759552',215.59706,-0.082210647
184,b'    343486634945177600',215.70876,-1.0585789
185,b'    343494331526572032',215.65249,0.98591163
186,b'    344580649417467904',217.78033,-0.89008551
187,b'    344606487940720640',217.2292,-1.1735917
188,b'    344585048353171456',217.78033,-0.89008551
189,b'    344603740050843648',217.2292,-1.1735917
190,b'    345778292894230528',219.58224,0.59588797
191,b'    346791217964541952',222.25764,-1.1004646
192,b'    346817606243608576',222.01742,-0.77728558
193,b'    346945149592430592',222.3198,0.7948326
194,b'    347986112293136384',222.81161,-0.31265094
195,b'    348075172734986240',224.69753,0.58550129
196,b'    347989691208853504',222.81161,-0.31265094
197,b'    348012780953036800',223.14634,0.10678948
198,b'    348074628482099200',224.69753,0.58550129
199,b'    349060609192519680',226.30368,-0.74638686
200,b'    349126579890186240',224.98168,0.81077259
201,b'    349118064949749760',224.98168,0.81077259
202,b'    350250556473763840',226.90141,0.7886845
203,b'    350253305252833280',227.0733,0.29496294
204,b'    351287121463502848',230.42147,-0.47078597
205,b'    351377831172794368',227.75587,-0.12456997
206,b'    351414115056510976',229.26999,0.28166334
207,b'    351456171376273408',230.23891,0.093861647
208,b'    352530943723988992',231.2763,0.99199575
209,b'    353618909942802432',231.55191,-0.45041132
210,b'    354660147823405056',235.47609,-1.0419651
211,b'    354734364858279936',233.99493,-0.10039687
212,b'    354799236044318720',235.01755,0.34777967
213,b'    354800060678039552',235.14565,0.25245835
214,b'    354800335555946496',235.19539,0.33471902
215,b'    354804183846643712',234.98217,1.1879452
216,b'    354823975055943680',235.59375,1.0057388
217,b'    363688511871674368',183.24978,-1.1166716
218,b'    363688786749581312',183.11821,-0.95845889
219,b'    363713525761206272',183.17656,-0.3203691
220,b'    363720122830972928',182.76919,-0.58832653
221,b'    363727544534460416',182.51858,-0.34387865
222,b'    363730018435622912',182.37825,-0.20601201
223,b'    363760529883293696',181.96755,0.31043563
224,b'    363766852075153408',182.43577,1.2443448
225,b'    363777847191431168',182.66413,1.1806409
226,b'    363785543772825600',182.52923,0.34640399
227,b'    363800387179800576',182.95655,0.63185048
228,b'    363806434493753344',183.3864,0.43390412
229,b'    363806984249567232',183.46728,0.69915418
230,b'    363813856197240832',183.12543,0.84399064
231,b'    363818529121658880',183.71107,0.55833644
232,b'    364926287942281216',182.93715,0.58977276
233,b'    367063475563816960',172.95212,-3.0583752
234,b'    367119550656833536',171.08833,-2.4483046
235,b'    368239676768675840',173.31027,-3.4722819
236,b'    368266065047742464',172.2811,-2.1308279
237,b'    368334509646571520',174.74414,-1.5267928
238,b'    369331491613730816',175.19959,-3.2334956
239,b'    369354581357914112',174.95079,-3.6383813
240,b'    370454638949853184',176.91848,-3.4472805
241,b'    370512638188218368',175.49259,-1.5371741
242,b'    370516486478915584',175.3075,-2.4732772
243,b'    371635244828223488',177.28596,-1.5332545
244,b'    371706987961935872',179.26254,-1.9929519
245,b'    372735855934072832',179.66499,-2.7503179
246,b'    372745476660815872',179.47615,-2.9423858
247,b'    372769940794533888',179.34748,-2.1613875
248,b'    373812002922981376',183.2337,-3.2489867
249,b'    373925252620642304',182.53862,-1.3284027
250,b'    375060222592444416',184.82902,-2.1449601
251,b'    376174847136393216',187.32985,-1.5714824
252,b'    376177595915462656',186.88023,-2.2794834
253,b'    376185292496857088',187.31472,-1.8888545
254,b'    377188322096736256',189.88121,-3.0921404
255,b'    377215260131616768',189.80769,-2.6333186
256,b'    377280131317655552',188.71698,-1.4858698
257,b'    378381017318189056',190.70242,-3.5252463
258,b'    378447262893762560',191.55576,-1.2484262
259,b'    379457164290320384',193.62831,-3.0403391
260,b'    379603949092628480',194.14481,-2.2155999
261,b'    381712532399745024',196.86075,-3.0672162
262,b'    381729025074161664',196.31295,-3.0698196
263,b'    381772180905551872',195.68955,-1.9052539
264,b'    381778228219504640',195.19626,-2.3253576
265,b'    381780427242760192',195.80007,-1.4620719
266,b'    382899185323632640',197.20855,-1.3514557
267,b'    383987147046152192',199.99863,-3.3778328
268,b'    383998142162429952',199.53083,-3.5902306
269,b'    384003089964754944',199.9479,-3.3979243
270,b'    384016284104288256',198.93569,-2.5259966
271,b'    384064662615910400',200.49481,-2.0817779
272,b'    385067692115126272',238.06848,-0.48547862
273,b'    385075938452334592',237.68745,-0.34900228
274,b'    385095179905820672',237.08946,-0.74882454
275,b'    385167197917440000',236.19063,0.45735559
276,b'    385178467911624704',236.46919,0.39029287
277,b'    385210078870923264',237.40185,0.72314565
278,b'    386213383248046080',239.83887,-0.52592213
279,b'    387360173892593664',240.71185,-0.55273956
280,b'    387409926793750528',240.1976,1.0953246
281,b'    388538850307237888',242.09846,0.76515032
282,b'    388566063220025344',242.45443,0.11487776
283,b'    388580356871186432',242.62788,1.1845097
284,b'    388596574667696128',243.16953,0.53042435
285,b'    389636162962089984',243.18458,-0.34023142
286,b'    389647982712088576',243.08174,-0.23443199
287,b'    389660901973714944',243.80057,0.81351038
288,b'    391836010482264064',248.82133,-1.174218
289,b'    391876692412491776',248.30726,-0.5532329
290,b'    391897858011326464',247.4515,-0.57480348
291,b'    391926720191555584',248.30388,0.95561407
292,b'    391926995069462528',248.24517,0.82111935
293,b'    391932217749694464',247.99253,0.19965369
294,b'    391972899679922176',249.63724,0.41766137
295,b'    391839859192391680',248.82133,-1.174218
296,b'    391920948174940160',247.99253,0.19965369
297,b'    391923422076102656',248.24517,0.82111935
298,b'    391923696954009600',248.30388,0.95561407
299,b'    391924796465637376',248.28628,0.81077557
300,b'    391974274488887296',249.63724,0.41766137
301,b'    392970981829797888',255.73496,63.416386
302,b'    392982801579796480',255.54865,63.012871
303,b'    393006715957700608',253.111,62.773233
304,b'    393078733969319936',253.96565,64.090429
305,b'    393081207870482432',254.23022,63.722748
306,b'    393087530062342144',254.85332,64.271191
307,b'    393094676887922688',255.35133,64.669959
308,b'    393095776399550464',255.55225,64.808744
309,b'    394065820398938112',259.26268,63.724372
310,b'    394151857183811584',256.38669,64.675717
311,b'    394176871073343488',258.36806,65.988282
312,b'    394178520340785152',258.41768,66.081374
313,b'    395194194274052096',257.89006,60.804081
314,b'    395350599803103232',257.75719,61.862204
315,b'    395195020333836288',257.89006,60.804081
316,b'    395273360537315328',254.63802,60.788158
317,b'    395352800252422144',257.75719,61.862204
318,b'    396391287542016000',257.57116,63.17701
319,b'    396451760681543680',259.21645,63.416838
320,b'    396353355984693248',260.00009,62.360636
321,b'    396452037153286144',259.46982,63.891469
322,b'    396461383002122240',259.33077,63.953177
323,b'    396491894449793024',262.12952,63.35414
324,b'    397484752006834176',258.44739,59.254779
325,b'    397554570995197952',256.62913,60.954736
326,b'    397598551460308992',258.56052,60.775218
327,b'    398678823127771136',260.62592,61.817185
328,b'    398695315802187776',260.13109,60.853588
